@context,@type,@id,name,description,address,url,telephone,publicAccess,geo/@type,geo/longitude,geo/latitude,image/@type,image/@id,image/contentUrl,image/author/@type,image/author/familyName,image/author/givenName,image/license,bayernCloudType,licence
https://schema.org,TouristAttraction,9d06c705f48e59bf63d420476bdc3c48,Zugspitze,Ein Tagesausflug auf den höchsten Berg Deutschlands? Von München aus ist das kein Problem!,Zugspitze,http://zugspitze.de/,+49 8821 7970,true,GeoCoordinates,10.985362529755,47.42106809599,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,Natur,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,45963b8d0c8ad0bd5c9e33e8024b0caa,Tourist Information am Hauptbahnhof,"Nur eine Minute vom Hauptbahnhof, nahe des Ausgangs Arnulfstraße in der Luisenstraße 1, befindet sich die Tourist Information von München Tourismus.",Luisenstraße 1 80333 München,https://www.muenchen.travel/pois/muenchen-tipps-fuer/tourist-information-hauptbahnhof,+49 89 23396500,true,GeoCoordinates,11.5609818,48.141727,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,Touristinfos,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,a555ee9b2ffd544a492c0dc92f43355f,Tourist Information am Marienplatz,Hier im Herzen der Stadt erwartet Sie täglich eine kompetente und mehrsprachige Beratung von unseren München-Profis.,"Marienplatz 8, 80331 München",https://www.muenchen.travel/pois/muenchen-tipps-fuer/tourist-information-marienplatz,+49 89 23396500,true,GeoCoordinates,11.575856171758,48.137437598867,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,Touristinfos,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,41ecaf6667ddab311657a15e6f1c1b14,ZOB - Zentraler Omnibusbahnhof,Erster Anlaufpunkt für Busreisende ist der Zentrale Omnibusbahnhof ZOB im Zentrum Münchens und in unmittelbarer Nähe zum Hauptbahnhof.,Hackerbrücke 4 80335 München,https://www.muenchen.travel/pois/muenchen-tipps-fuer/zob-zentraler-omnibusbahnhof,,true,GeoCoordinates,11.5494477,48.1422938,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,Mobilität,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,b82f49169bc10efd61cdd8e5e6dea73b,Kochel am See,Eine Autostunde südlich von München liegt idyllisch am Kochelsee  das Örtchen Kochel am See. In dieser Gegend fand der Münchner Franz Marc mit der Künstlergruppe „Blauer Reiter“ viele Motive für weltbekannte Werke. Man kann sie im Museum bestaunen und die Originalschauplätze abwandern.,"Franz Marc Park 8-10, 82431 Kochel am See",https://www.franz-marc-museum.de/,08851 924880,true,GeoCoordinates,11.3651306,47.65059,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,schöne Plätze,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,d451b00c6b1497046939440a7c698345,Landshut,"Wer eine niederbayerische Stadt wie aus dem Bilderbuch sehen möchte, der sollte Landshut einen Besuch abstatten. Hier warten nicht nur historische Burgen und Kirchen, sondern auch moderne Cafés und Läden.","84034 Landshut, Luitpoldstraße 29",https://www.muenchen.travel/pois/berge-seen/landshut,,true,GeoCoordinates,12.1412898,48.5397723,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,schöne Plätze,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,985fb87896a21564d33586e439ad4bde,Murnau am Staffelsee,"Murnau ist unglaublich pittoresk. Viele Ansichten haben sich in den Bildern des „Blauen Reiter“ erhalten, einer Kunstbewegung des Expressionismus, deren Mitglieder sich Anfang des 19. Jahrhunderts im Ort niederließen. Noch heute kann man auf ihren Spuren wandeln und dabei das Naturschutzgebiet Murnauer Moos, alte Handwerkstradition und freundliche Cafés und Wirtschaften zum Einkehren entdecken.",Murnau,https://www.tourismus.murnau.de/sonstiges/kontakt,+49(0) 8841 476240,true,GeoCoordinates,11.20119,47.677882,ImageObject,,,Person,,,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,4d7f022ee9e62b650d4f1656fc5bde58,Regensburg,"Die mittelalterliche Altstadt von Regensburg zählt zu den größten Deutschlands und ist UNESCO-Weltkulturerbe. Nicht verpassen sollte man hier die Steinerne Brücke, den Regensburger Dom, die historische Wurstkuchl und weiter draußen die Gedenkstätte Walhalla.",Regensburg,https://www.muenchen.travel/pois/berge-seen/regensburg,,true,GeoCoordinates,12.097487,49.019533,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,schöne Plätze,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,4351503960c63cf441097d7db1971491,Rothenburg ob der Tauber,"Zweieinhalb Stunden nordwestlich von München liegt Rothenburg ob der Tauber, das im Ausland als Prototyp einer mittelalterlichen deutschen Stadt gilt. Die verschachtelten Gässchen, verwunschenen Türme und kleinen Plätze mit Fachwerkhäusern dienten als Kulisse für Filme über Martin Luther und die Brüder Grimm.","Marktplatz, 91541 Rothenburg ob der Tauber",https://www.muenchen.travel/pois/berge-seen/rothenburg-ob-der-tauber,,true,GeoCoordinates,10.1792403,49.377066,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,schöne Plätze,https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://schema.org,TouristAttraction,5e1b6c4484af79961c63b06eca117007,Salzburg,"Nur knapp 140 Kilometer von München entfernt, eingebettet in das herrliche Panorama der umliegenden Berge, liegt die Barockstadt Salzburg.","Getreidegasse 9, 5020 Salzburg",https://www.salzburg.info/,+43 66 2889870,true,GeoCoordinates,13.0435212,47.7999146,ImageObject,,,Person,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,schöne Plätze,https://creativecommons.org/publicdomain/zero/1.0/legalcode
